Un oso de agua es un animal|2,1,4
Un ornitorrinco es un animal|2,1,4
Una oveja es un animal|2,1,4
Un pájaro es un animal|2,1,4
Una paloma es un animal|2,1,4
Una pantera es un animal|2,1,4
Un papagayo es un animal|2,1,4
Un pelicano es un animal|2,1,4
Una perca es un animal|2,1,4
Un perdiz es un animal|2,1,4
Un perezoso es un animal|2,1,4
Un periquito es un animal|2,1,4
Un petirrojo es un animal|2,1,4
Un perro es un animal|2,1,4
Un pez es un animal|2,1,4
Un pingüino es un animal|2,1,4
Un pinzón es un animal|2,1,4
Un piojo es un animal|2,1,4
Un piquituerto es un animal|2,1,4
Una polilla es un animal|2,1,4
Un puercoespín es un animal|2,1,4
Una pulga es un animal|2,1,4
Un pulpo es un animal|2,1,4
Un puma es un animal|2,1,4
Un quebrantahuesos es un animal|2,1,4
Una rana es un animal|2,1,4
Una rata es un animal|2,1,4
Un ratón es un animal|2,1,4
Una raya es un animal|2,1,4
Un rebeco es un animal|2,1,4
Una rémora es un animal|2,1,4
Un reno es un animal|2,1,4
Un rinoceronte es un animal|2,1,4
Un salmón es un animal|2,1,4
Un saltamontes es un animal|2,1,4
Una sanguijuela es un animal|2,1,4
Un sapo es un animal|2,1,4
Una sepia es un animal|2,1,4
Un serpiente es un animal|2,1,4
Un tábano es un animal|2,1,4
Un tejón es un animal|2,1,4
Una tenia es un animal|2,1,4
Una termita es un animal|2,1,4
Un tiburón es un animal|2,1,4
Un tigre es un animal|2,1,4
Una tijereta es un animal|2,1,4
Un topo es un animal|2,1,4
Un toro es un animal|2,1,4
Una tortuga es un animal|2,1,4
Un tritón es un animal|2,1,4
Una trucha es un animal|2,1,4
Un tucán es un animal|2,1,4
Un urogallo es un animal|2,1,4
Una urraca es un animal|2,1,4
Una vaca es un animal|2,1,4
Un varano es un animal|2,1,4
Un venado es un animal|2,1,4
Una vicuña es un animal|2,1,4
Un yak es un animal|2,1,4
Una yegua es un animal|2,1,4
Una zarigüeya es un animal|2,1,4
Un zorro es un animal|2,1,4
Una zebra es un animal|2,1,4
Un caballito de mar es un animal|4,1,6
Un diablo de tasmania es un animal|4,1,6
Un dragón de komodo es un animal|4,1,6
Un insecto palo es un animal|3,1,5
Un león marino es un animal|3,1,5
Un lobo marino es un animal|3,1,5
Una mantis religiosa es un animal|3,1,5
Un murciélago narval es un animal|3,1,5
Un oso hormiguero es un animal|3,1,5
Un oso panda es un animal|3,1,5
Un oso pardo es un animal|3,1,5
Una rubia gallega es un animal|3,1,5
Un ruiseñor salamandra es un animal|3,1,5
